Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-11-12,Three Wishes for Cinderella,1973,https://boxd.it/bGcSvd,,Yes,,2021-12-23
2025-11-12,"Once Upon a Time, There Was a King...",1955,https://boxd.it/bGcSXB,,Yes,,2021-12-26
2025-11-12,With You The World Is Fun,1983,https://boxd.it/bGcUp7,4,Yes,,2021-12-30
2024-01-01,Aladdin,1992,https://boxd.it/5sgLhR,4,Yes,,2021-12-31
2022-05-06,The Trial of the Chicago 7,2020,https://boxd.it/2Oxgrf,3,,,2022-01-02
2025-11-12,Kingdom of Heaven,2005,https://boxd.it/bGfjU9,4,Yes,,2022-01-05
2025-11-12,The Gentlemen,2019,https://boxd.it/bGfldV,4,Yes,,2022-01-13
2022-06-22,The Trip,2021,https://boxd.it/2X1YdN,3,,,2022-01-14
2022-03-20,Pig,2021,https://boxd.it/2G8G7D,1,,,2022-01-22
2025-11-12,Now You See Me,2013,https://boxd.it/bGflYR,3.5,Yes,,2022-01-25
2022-05-22,The Firemen's Ball,1967,https://boxd.it/2RlCBp,4,,,2022-01-27
2022-06-25,The Lighthouse,2019,https://boxd.it/2XE4Cl,3,,,2022-01-31
2022-03-25,The Lost Daughter,2021,https://boxd.it/2H11Ml,1.5,,,2022-02-03
2022-05-12,State Funeral,2019,https://boxd.it/2PCQCx,,,,2022-02-09
2025-11-12,Wrath of Man,2021,https://boxd.it/bGfktX,3,,,2022-02-10
2022-10-20,I Care a Lot,2020,https://boxd.it/3ldyzj,2.5,,,2022-02-14
